[migrater] timestamp=1778169260.82, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000204 B/s, pending=115941376 bytes ([13.62%] 18276352/134217728 bytes copied)
[migrater] timestamp=1778169261.33, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999611 B/s, pending=115433472 bytes ([14.00%] 18784256/134217728 bytes copied)
[migrater] timestamp=1778169261.83, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000324 B/s, pending=114925568 bytes ([14.37%] 19292160/134217728 bytes copied)
[migrater] timestamp=1778169262.34, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999941 B/s, pending=114417664 bytes ([14.75%] 19800064/134217728 bytes copied)
[migrater] timestamp=1778169262.85, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999818 B/s, pending=113909760 bytes ([15.13%] 20307968/134217728 bytes copied)
[migrater] timestamp=1778169263.36, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000280 B/s, pending=113401856 bytes ([15.51%] 20815872/134217728 bytes copied)
[migrater] timestamp=1778169263.87, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000109 B/s, pending=112893952 bytes ([15.89%] 21323776/134217728 bytes copied)
[migrater] timestamp=1778169264.37, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999943 B/s, pending=112386048 bytes ([16.27%] 21831680/134217728 bytes copied)
[migrater] timestamp=1778169264.88, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000006 B/s, pending=111878144 bytes ([16.64%] 22339584/134217728 bytes copied)
[migrater] timestamp=1778169265.39, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999606 B/s, pending=111370240 bytes ([17.02%] 22847488/134217728 bytes copied)
[migrater] timestamp=1778169265.90, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000278 B/s, pending=110862336 bytes ([17.40%] 23355392/134217728 bytes copied)
[migrater] timestamp=1778169266.41, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999866 B/s, pending=110354432 bytes ([17.78%] 23863296/134217728 bytes copied)
